YYYY-MM-DD,who,what-what
2016-09-21,pld,washdishes-cleanupdishes-grocery-cooking-2wiping
2016-09-21,val,grocery-cooking
2016-09-22,val,wiping
2016-09-22,pld,cleanupdishes
2016-09-23,val,cooking-washdishes
2016-09-23,pld,wiping-washdishes-cleanupdishes
2016-10-02,val,washdishes
2016-10-02,pld,washdishes-wiping-trashout-cooking
2016-10-03,val,grocery-cooking-washdishes
2016-10-03,pld,washdishes-wiping-cooking-cleanupdishes
2016-10-04,val,2cooking-grocery
2016-10-04,pld,2washdishes-2wiping-cooking 2016-10-05,val,grocery
2016-10-05,pld,grocery-washdishes-wiping
2016-10-06,pld,cooking-washdishes-wiping
2016-10-07,pld,washdishes
2016-10-08,val,cleanfloor
2016-10-09,pld,washdishes-wiping-cooking-trashout
2016-10-09,val,cooking-trashout
2016-10-10,val,cleanupdishes
2016-10-12,val,grocery
2016-10-12,pld,grocery-washdishes-cooking-wiping
2016-10-13,val,cooking-wiping
2016-10-13,pld,washdishes-wiping
2016-10-14,pld,washdishes-wiping-cleanupdishes
2016-10-16,val,cleanfloor-grocery
2016-10-17,val,grocery-cooking-wiping
2016-10-17,pld,grocery-wiping-cooking
2016-10-18,pld,
2016-10-18,val,
