YYYY-MM-DD,who,what-what
2016-09-21,pld,washdishes-cleanupdishes-grocery-cooking-2wiping
2016-09-21,val,grocery-cooking
2016-09-22,val,wiping
2016-09-22,pld,cleanupdishes
2016-09-23,val,cooking-washdishes
2016-09-23,pld,wiping-washdishes-cleanupdishes
2016-10-02,val,washdishes
2016-10-02,pld,washdishes-wiping-trashout-cooking
2016-10-03,val,grocery-cooking-washdishes
2016-10-03,pld,washdishes-wiping-cooking-cleanupdishes
2016-10-04,val,2cooking-grocery
2016-10-04,pld,2washdishes-2wiping-cooking
2016-10-05,val,grocery
2016-10-05,pld,grocery-washdishes-wiping
2016-10-06,val,
2016-10-06,pld,cooking-washdishes-wiping
